  date	amount
11/26/20	209.4
11/26/20	2
11/26/20	1.97
11/26/20	5
11/26/20	1
11/26/20	1
11/26/20	207.05
11/26/20	205
11/26/20	203
11/27/20	101
11/27/20	9.02
11/27/20	8.93
11/27/20	8.89
11/27/20	6
11/28/20	4
11/28/20	4
11/30/20	100
11/30/20	100
12/1/20	1418.44
12/1/20	617.98
12/1/20	616.98
12/1/20	4.6
12/2/20	10
12/2/20	10
12/2/20	10
12/2/20	17.17
12/2/20	17.64
12/2/20	10
12/3/20	50.5
12/3/20	50
12/3/20	40
12/4/20	50.5
12/4/20	50
12/4/20	60
12/4/20	10.26
12/5/20	82.02
12/5/20	5
12/5/20	10
12/5/20	1.5
12/5/20	1.5
12/5/20	1.35
12/5/20	1.35
12/5/20	12
12/5/20	12
12/6/20	15.15
12/6/20	15
12/6/20	15.98
12/7/20	319.76
12/7/20	20.2
12/7/20	20
12/7/20	15
12/7/20	103.02
12/7/20	102
12/7/20	50
12/8/20	185.04
12/8/20	40
12/8/20	14.14
12/8/20	14
12/8/20	13
12/9/20	5
12/9/20	4
12/9/20	2.9
12/9/20	2.9
12/9/20	49.9
12/9/20	15.15
12/9/20	15
12/10/20	39.95
12/10/20	39
12/10/20	58
12/11/20	176.84
12/11/20	14
12/11/20	14
12/13/20	2
12/13/20	1
12/13/20	1
12/13/20	1
12/13/20	20.2
12/13/20	20
12/13/20	20
12/13/20	4.4
12/13/20	14.14
12/13/20	14
12/13/20	101
12/13/20	100
12/13/20	98.5
12/13/20	14.86
12/14/20	4.32
12/14/20	4.28
12/14/20	4.21
12/14/20	50.5
12/14/20	50
12/14/20	1
12/14/20	1
12/14/20	25
12/14/20	25
12/14/20	4
12/14/20	4
12/14/20	292.74
12/15/20	1
12/15/20	1
12/15/20	1
12/15/20	289.87
12/15/20	287
12/15/20	283
12/15/20	10.1
12/15/20	10
12/15/20	10
12/15/20	10.1
12/15/20	10
12/15/20	10
12/15/20	158
12/15/20	150
12/15/20	150
12/16/20	5
12/16/20	5
12/16/20	2
12/16/20	2
12/16/20	7
12/16/20	1
12/16/20	1
12/16/20	8
12/16/20	8
12/17/20	4
12/17/20	10
12/17/20	10
12/17/20	10
12/17/20	5.05
